categorie_id,categorie_titre,item_id,item_nom,item_desc,prix,unite
cellules,Cellules de palettisation completes,pal-12kg,Palettiseur robotise 12 Kg,"Robot 6 axes 2050 mm, cadence 20 cartons/min, chassis, pilotage intuitif, prehenseur aspiration, securite grille & scanner, installation incluse (200 km).",67000,cellule
cellules,Cellules de palettisation completes,pal-25kg,Palettiseur robotise 25 Kg,"Robot 6 axes 2295 mm, cadence 20 cartons/min, chassis, pilotage intuitif, prehenseur aspiration, securite grille & scanner, installation incluse (200 km).",72900,cellule
cellules,Cellules de palettisation completes,pal-cobot-20kg,Palettiseur robotise Cobotique No-Code 20 Kg,"Cobot 6 axes 2150 mm, cadence 10 cartons/min, chassis, pilotage intuitif, prehenseur aspiration, certifie CE, installation incluse (200 km).",84900,cellule
cellules,Cellules de palettisation completes,pal-cobot-12kg-nu,Version Cobot No-Code 12 Kg (cellule seule),"Robot 6 axes 2050 mm - 12 Kg, cadence 10 cartons/min. Dossier technique, montage, cablage, livraison, mise en service inclus.",,cellule
cellules,Cellules de palettisation completes,pal-cobot-30kg-nu,Version Cobot No-Code 30 Kg (cellule seule),"Robot 6 axes 2050 mm - 30 Kg, cadence 10 cartons/min. Dossier technique, montage, cablage, livraison, mise en service inclus.",,cellule
prehenseurs,Prehenseurs,prehenseur-mousse,Prehenseur - Version Mousse,"Prehenseur d'aspiration par mousse, pour cartons fermes. Dossier technique, preparation, montage et cablage inclus.",4000,piece
prehenseurs,Prehenseurs,prehenseur-pince,Prehenseur - Version Pince,"Systeme de double pince pour la prise de 2 cartons ouverts. Dossier technique, preparation, montage et cablage inclus.",5500,piece
chassis,Chassis,chassis-standard,Chassis avec colonne fixe - Standard,"Chassis a fixer au sol, 2 emplacements palettes, colonne fixe centrale, passage de cables integre, emplacement armoire(s).",5000,piece
chassis,Chassis,chassis-inox,Chassis avec colonne fixe - Version INOX agroalimentaire,"Meme conception que la version standard, en inox pour environnement agroalimentaire.",7000,piece
chassis,Chassis,chassis-telescopique-100kg,Chassis avec colonne telescopique - 100 Kg,"Colonne telescopique a moteur brushless installee sur le chassis, charge 100 Kg.",9500,piece
chassis,Chassis,chassis-motorise-200kg,Chassis avec colonne motorisee - 200 Kg,"Robot sur bras deporte + axe lineaire motorise (courroie crantee) reprenant l'effort de charge, 200 Kg.",15500,piece
chassis,Chassis,chassis-simple-ur10,"Chassis simple pour palettisation (UR10, LIFKIT, baie robot, 2 palettes)","Chassis monte en atelier, emplacements pour UR10, LIFKIT, baie robot et 2 palettes.",4800,piece
